# 拓扑序（教学顺序参考）— 207 个工具
#
001. a01-natural-number  — 自然数
078. a33-fraction-property  — 分数基本性质
079. a41-decimal  — 小数
080. a44-ratio  — 比与比值 a:b
081. c19-power-of-power  — 幂的乘方 (a^m)^n=a^(mn)
082. c18-zero-exponent  — 零次幂 a⁰=1(a≠0)
083. b16-triangle-area  — 三角形面积 底×高÷2
084. f08-variance  — 方差
085. b35-distance-point-line  — 点到直线距离
086. b36-coordinate-system  — 坐标系
087. d35-orthographic-projection  — 正投影(非透视)
088. b32-co-interior-supplementary  — 同旁内角互补
089. b31-alternate-interior-angles  — 内错角相等
090. a25-prime-factorization  — 质因数分解
091. a31-mixed-number  — 带分数
092. a42-decimal-operations  — 小数四则(加减对齐/乘法定点/除法右移)
093. a51-rational-number  — 有理数
094. a45-proportion  — 比例与按比分配 a:b=c:d↔ad=bc
095. a46-percentage  — 百分数 a% = a/100
096. f12-probability-definition  — 概率 P = 有利数/总数
097. b37-ordered-pair  — 有序数对 (a,b)
098. d36-three-views  — 主/俯/左三视图对齐规则
099. b33-triangle-angle-sum  — 三角形内角和
100. d01-congruence-definition  — 全等记号 △ABC≅△DEF(顶点对应)
101. a26-gcd  — 最大公因数
102. a27-lcm  — 最小公倍数
103. a32-convert-improper-mixed  — 假/带互化
104. a55-irrational-number  — 无理数
105. c11-square-root  — 平方根记号 √n
106. f13-complement-rule  — 对立事件 P(¬A)=1-P(A)
107. f17-random-sampling  — 随机抽样(代表性)
108. b38-axis-on-point  — 坐标轴上的点规律
109. d14-quadrilateral-angle-sum  — 四边形内角和 360°
110. d02-proof-chain  — 三步证明链 已知→桥→结论
111. d03-ssa-warning  — SSA 不是判定(反例警示)
112. d09-hl-criterion  — HL(直角斜边+直角边)
113. d10-similar-triangles  — 相似三角形 △∽△(对应角等/边成比例)
114. a34-simplify  — 约分
115. a36-common-denominator  — 通分
116. a56-real-number  — 实数
117. d23-pythagorean-theorem  — 勾股定理 a²+b²=c²
118. d04-sss-criterion  — SSS 全等判定
119. d05-sas-criterion  — SAS
120. d07-asa-criterion  — ASA
121. d11-similarity-scaling  — 相似边/周长/面积比 k/k/k²
122. d12-parallel-similarity  — 平行线截三角形相似
123. a35-lowest-terms  — 最简分数
124. a39-fraction-mul  — 分数乘法
125. a43-frac-decimal-conversion  — 分小数互化
126. a37-fraction-compare  — 分数比较大小
127. a38-fraction-add-sub  — 分数加减
128. d26-trigonometric-ratios  — sin/cos/tan 三角比
129. d24-pythagorean-converse  — 勾股逆定理(SSS 判定直角)
130. d06-isosceles-property  — 等腰三角形三线合一
131. d15-parallelogram-properties  — 平行四边形性质(对边等/对角等/对角线平分)
132. d32-rigid-transformations  — 三类刚性变换(平移/翻折/旋转)共同不变量
133. d08-aas-criterion  — AAS
134. d13-midsegment  — 三角形中位线
135. a40-fraction-div  — 分数除法
136. a47-decimal-fraction-conversion  — 小数↔分数互化规范
137. d27-trig-invariance  — 同角三角比不变
138. d28-special-angles  — 30°/45°/60° 特殊角三角比值
139. d30-slope  — 坡度 i = rise/run = tan α
140. d31-scene-to-triangle  — 场景→直角三角形标准流程
141. d20-radius-linking  — 连半径战术
142. d16-parallelogram-criteria  — 平行四边形 5 种判定
143. d17-rectangle  — 矩形
144. d18-rhombus  — 菱形
145. d33-central-symmetry  — 中心对称 = 旋转 180°
146. d34-coordinate-transformations  — 坐标下变换记法 (x,-y)/(-x,y)/(-x,-y)/(x+a,y+b)
147. a54-rational-arithmetic  — 有理数四则(同号异号规则)
148. a48-percent-decimal-conversion  — 百分数↔小数↔分数
149. d21-inscribed-angle  — 圆周角定理 = 圆心角一半;半圆圆周角 90°
150. d22-perpendicular-chord  — 垂径定理
151. d19-square  — 正方形 = 矩形 ∩ 菱形
152. c02-algebraic-expression  — 代数式
153. c46-inequality-properties  — 不等式三性质(乘除负数反号)
154. e09-multiplicative-growth  — 乘法增长 y=a(1+r)^n(复利式)
155. f02-frequency-rate  — 频率 = 频数/总数
156. d37-regular-polygon-inscribed  — 圆内接正多边形(中心角 360°/n)
157. d25-pythagorean-triples  — 勾股数与隐藏直角三角形(矩形对角/菱形半对角/弦心距)
158. c03-substitution  — 代入求值
159. c04-equation  — 方程
160. c07-polynomial  — 整式
161. e01-function-concept  — 函数
162. f03-chart-selection  — 图表选择(条形/扇形/折线)
163. f09-frequency-distribution-table  — 频率分布表
164. f14-experimental-probability  — 实验概率
165. f18-sample-estimation  — 样本均值/频率估计总体
166. c05-solution  — 方程的解
167. c08-combine-like-terms  — 合并同类项
168. c09-remove-parentheses  — 去括号
169. c25-rational-expression  — 分式
170. c34-linear-equation  — 一元一次方程 ax+b=c
171. c40-quadratic-equation  — 一元二次方程 ax²+bx+c=0
172. e02-direct-proportion  — 正比例函数 y=kx
173. f10-histogram  — 直方图
174. f15-frequency-to-probability  — 频率稳定于概率(大数规律直觉版)
175. c06-undo-balance  — Undo 与 Balance 两视角解方程
176. c12-polynomial-multiply  — 多项式乘法
177. c26-rational-property  — 分式基本性质
178. c31-rational-equation  — 分式方程
179. c37-system-of-equations  — 二元一次方程组
180. e05-quadratic-function  — 二次函数 y=ax²+bx+c
181. e03-linear-function  — 一次函数 y=kx+b(k:斜率,b:截距)
182. c35-equality-properties  — 等式两条性质(加减/乘除)
183. c41-square-root-method  — 直接开方法 (x+m)²=k 两边开根
184. c13-difference-squares  — 平方差公式 (a+b)(a-b)=a²-b²
185. c14-perfect-square-formula  — 完全平方公式 (a±b)²=a²±2ab+b²
186. c21-factorization  — 因式分解
187. e08-additive-growth  — 加法增长 y=a+kn(对应一次函数)
188. c36-five-step-solution  — 五步解法:去分母/去括号/移项/合并/系数化 1
189. c39-elimination-method  — 加减消元法
190. c42-completing-square  — 配方法
191. c22-common-factor  — 提公因式
192. c23-formula-factoring  — 公式法
193. c24-cross-multiplication  — 十字相乘 x²+bx+c 找两数
194. c28-common-denominator  — 通分与最简公分母
195. c30-rational-mul-div  — 分式乘除
196. c38-substitution-method  — 代入消元法
197. c47-linear-inequality  — 一元一次不等式
198. c43-quadratic-formula  — 求根公式 x=(-b±√(b²-4ac))/(2a)
199. e06-vertex-axis  — 顶点 + 对称轴(顶点式 y=a(x-h)²+k)
200. c27-simplify-fraction  — 约分与最简分式
201. c44-factor-method  — 因式分解法
202. c29-rational-add-sub  — 分式加减
203. c32-clear-denominators  — 去分母
204. c48-inequality-system  — 不等式组与交集口诀
205. e04-inverse-proportion  — 反比例函数 y=k/x
206. e07-parabola-zeros  — 抛物线与 x 轴交点 = 方程根
207. c33-extraneous-root  — 增根与验根
